City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Voi,KE,-3.3945,38.563,72.77,84,66,4.16,light rain
236,Gizo,SB,-8.103,156.8419,81.7,80,92,7.18,light rain
237,Portland,US,45.5234,-122.6762,49.91,92,90,1.99,overcast clouds
238,Qaanaaq,GL,77.484,-69.3632,0.88,67,67,7.11,broken clouds
239,Tarko-Sale,RU,64.9225,77.785,-10.03,98,97,6.44,overcast clouds
240,Nampula,MZ,-15.1165,39.2666,82.35,54,0,14.97,clear sky
241,San Lazaro,BZ,18.0387,-88.6622,83.91,60,71,7.18,broken clouds
242,Bakchar,RU,57.0186,82.0711,18.75,95,99,7.74,overcast clouds
243,The Valley,AI,18.217,-63.0578,85.86,70,40,14.97,scattered clouds
244,Tuatapere,NZ,-46.1333,167.6833,57.81,98,100,9.06,overcast clouds
245,Vostok,RU,46.4856,135.8833,-10.86,97,38,5.84,scattered clouds
246,Gedo,ET,9.0167,37.45,52.97,44,5,4.23,clear sky
247,Asfi,MA,32.2994,-9.2372,60.37,64,4,17.92,clear sky
248,Moree,AU,-29.4667,149.85,59.02,82,0,6.91,clear sky
249,Novoselitskoye,RU,44.7508,43.4369,43.68,62,100,6.89,overcast clouds
250,Bonavista,CA,48.6499,-53.1147,32.11,50,81,29.68,broken clouds
251,Uromi,NG,6.7,6.3333,80.06,50,27,2.42,scattered clouds
252,Waverly,US,42.7392,-84.6208,43.29,42,1,17.27,clear sky
253,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,45,0,14.97,clear sky
254,Uribia,CO,11.7139,-72.266,89.46,47,90,22.66,overcast clouds
255,Mahajanga,MG,-15.7167,46.3167,82.42,78,20,3.44,few clouds
256,Ouesso,CG,1.6136,16.0517,73.11,92,77,1.59,moderate rain
257,Trairi,BR,-3.2778,-39.2689,84.87,64,10,14.27,clear sky
258,Yulara,AU,-25.2406,130.9889,76.84,36,40,17.27,scattered clouds
259,Akdepe,TM,42.0551,59.3788,35.69,88,96,6.06,overcast clouds
260,Ilulissat,GL,69.2167,-51.1,35.62,64,75,27.63,broken clouds
261,Bartica,GY,6.4,-58.6167,89.92,60,92,3.78,overcast clouds
262,Athabasca,CA,54.7169,-113.2854,10.22,85,100,6.87,overcast clouds
263,Vallenar,CL,-28.5708,-70.7581,89.29,15,0,10.09,clear sky
264,Maldonado,UY,-34.6667,-54.9167,72.79,59,100,13.6,overcast clouds
265,Imbituba,BR,-28.24,-48.6703,75.09,72,100,15.43,overcast clouds
266,Sibolga,ID,1.7427,98.7792,77.81,90,100,1.77,overcast clouds
267,Taltal,CL,-25.4,-70.4833,68.99,62,22,7.81,few clouds
268,Qasigiannguit,GL,68.8193,-51.1922,35.85,46,100,38.97,overcast clouds
269,Tessalit,ML,20.1986,1.0114,71.91,15,24,10.42,few clouds
270,Nishihara,JP,26.1842,127.7558,65.48,46,75,11.5,broken clouds
271,Aktash,RU,50.3,87.7333,0.88,82,2,4.36,clear sky
272,Palana,RU,59.1167,159.9667,21.63,95,100,6.53,snow
273,Eureka,US,40.8021,-124.1637,50.58,75,31,2.37,scattered clouds
274,Keetmanshoop,NA,-26.5833,18.1333,66.42,31,0,18.66,clear sky
275,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,83,100,2.33,overcast clouds
